lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
17,1,142.63,11,9,4,4,0,0,0,1
0,1,95.4,3,13,4,1,2,0,3,1
1,0,129.0,5,24,4,1,0,3,0,1
4,2,140.0,10,29,4,1,0,3,0,1
172,1,72.84,7,18,4,5,2,0,0,1
87,0,72.25,7,11,3,6,3,0,0,1
243,0,95.4,9,9,4,2,1,3,0,0
62,0,75.0,11,21,3,3,1,0,0,1
256,0,90.95,8,31,4,4,0,0,0,0
150,1,0.0,4,9,4,1,2,3,1,1
5,0,95.0,4,11,0,3,1,0,0,1
33,0,63.0,11,20,3,1,2,3,0,1
5,1,133.1,5,28,4,2,2,0,3,1
118,1,85.5,7,19,4,0,2,0,0,0
97,3,121.14,10,22,4,3,2,0,3,1
43,2,108.0,10,10,4,2,1,3,0,1
64,2,144.9,9,18,4,1,2,0,0,1
152,2,184.34,7,30,4,11,5,1,0,0
71,0,51.96,7,11,4,1,0,3,0,1
0,0,0.0,12,31,1,1,0,3,2,1
359,1,78.0,10,14,3,3,2,0,0,1
1,0,89.0,8,10,4,3,1,0,0,1
90,2,72.25,11,24,4,5,2,0,0,1
11,0,94.6,9,13,4,2,2,0,0,1
12,0,101.0,4,8,4,1,0,0,0,1
213,1,108.95,8,2,4,5,0,0,0,0
51,1,132.9,7,18,4,2,1,0,0,1
0,1,201.16,9,21,4,1,0,0,5,1
44,1,66.5,2,8,4,3,1,0,1,0
17,0,133.5,4,6,4,4,0,0,3,0
55,1,59.28,2,5,4,2,1,0,0,1
8,0,124.0,3,11,4,2,1,0,3,0
35,1,104.85,10,17,4,1,1,0,0,1
15,1,73.15,9,5,4,1,1,0,0,1
104,0,97.33,4,28,4,3,1,0,0,0
26,1,120.12,5,20,4,2,0,0,3,1
89,2,55.63,11,28,4,1,2,0,0,1
59,0,80.0,1,28,3,1,0,0,0,1
28,2,224.1,9,30,4,2,0,0,5,1
4,1,80.3,1,12,4,3,0,0,0,1
3,0,76.8,2,18,3,3,0,0,0,1
23,1,0.0,12,8,4,0,0,0,3,1
64,0,65.0,2,7,3,1,2,0,0,1
68,0,80.3,2,26,4,2,1,0,0,1
20,2,124.0,9,22,4,3,0,0,0,1
12,0,89.0,7,20,4,1,0,3,0,0
117,1,131.4,8,24,4,5,2,0,3,0
126,2,118.8,10,8,4,1,1,0,0,1
76,0,82.45,3,18,4,2,2,0,0,1
5,0,70.84,2,23,4,2,0,0,0,1
199,2,94.51,7,23,4,6,3,0,3,1
0,2,0.0,3,17,1,1,0,0,3,1
32,2,115.2,3,22,4,1,0,0,0,1
40,0,139.5,10,5,4,2,0,0,3,0
163,2,104.4,10,26,4,4,0,0,3,0
171,1,93.84,7,25,4,3,1,0,3,1
29,0,85.0,10,25,3,3,0,0,0,1
81,0,96.3,3,3,4,3,0,0,3,0
158,0,138.83,8,14,4,4,2,1,0,0
83,0,75.0,12,11,3,1,2,0,0,1
40,1,135.33,11,7,4,2,1,3,0,1
57,1,105.3,7,12,4,1,0,0,0,1
48,2,98.87,6,8,4,3,0,0,3,1
3,0,150.8,2,27,4,6,4,1,3,0
59,3,189.0,4,22,4,2,1,1,3,1
83,0,59.6,3,7,4,1,1,3,0,1
69,0,120.0,6,12,4,4,2,0,0,0
19,2,82.39,10,5,4,0,1,0,0,1
134,0,109.8,7,4,4,1,1,0,0,1
1,2,78.0,12,14,4,3,0,3,0,1
7,0,104.0,6,1,2,2,0,0,0,1
60,3,105.4,12,23,4,2,2,0,0,1
47,1,63.75,12,20,4,2,2,3,0,1
27,0,64.8,1,5,3,1,0,3,0,1
48,1,119.85,5,7,4,4,2,0,0,1
9,2,109.0,8,31,4,4,1,0,0,0
0,1,0.0,9,20,1,3,2,0,0,1
4,1,77.25,12,19,4,1,0,0,1,1
6,0,212.72,11,9,4,4,0,0,5,0
107,1,76.69,12,21,4,5,2,3,0,1
98,1,95.0,5,3,3,4,0,0,0,1
5,0,65.0,11,14,2,0,1,0,0,1
81,1,85.0,11,29,4,0,1,0,0,0
4,0,110.0,10,10,0,2,1,0,3,1
77,1,107.1,7,5,4,2,0,3,0,1
107,1,118.8,9,5,4,3,1,3,0,0
9,0,86.0,12,16,4,1,0,0,0,1
20,1,174.0,9,16,4,2,0,0,3,1
2,2,121.0,8,2,4,1,0,0,0,1
8,1,127.0,8,28,4,0,2,3,0,1
230,4,96.3,10,16,4,1,2,0,0,1
19,1,145.0,9,5,4,1,1,0,3,0
105,0,96.3,4,17,4,1,2,0,3,1
90,3,127.71,12,26,4,3,1,0,3,1
0,0,170.0,9,26,1,1,1,0,0,1
49,1,65.75,2,22,4,3,1,3,0,1
48,0,158.4,10,15,4,2,2,0,3,1
16,1,89.89,12,3,4,2,2,0,0,1
128,2,163.2,7,1,4,4,2,0,5,1
22,0,166.0,8,21,4,2,2,0,3,0
76,1,93.6,11,3,4,3,0,0,0,0
165,2,72.25,7,31,3,4,2,0,0,0
45,0,119.5,10,26,4,2,0,3,0,1
158,1,90.0,11,25,4,2,0,0,0,0
7,0,101.0,4,3,4,1,2,0,0,0
71,1,88.4,11,19,4,2,2,0,0,0
265,0,90.0,6,24,3,2,0,1,0,1
32,0,161.33,10,15,4,1,2,0,3,0
32,1,85.5,11,2,4,0,1,3,0,1
12,0,67.0,10,12,2,1,0,0,0,1
7,0,97.0,5,16,4,0,1,0,0,1
42,2,88.0,11,2,4,1,0,3,0,1
84,1,105.4,4,27,4,4,0,0,0,1
19,0,89.0,9,12,4,0,1,3,0,1
0,1,0.0,3,22,1,1,0,0,0,1
1,0,0.0,11,10,1,1,0,0,0,1
119,2,151.2,10,16,4,3,2,0,3,1
50,0,126.9,5,21,4,1,0,0,0,0
49,2,83.8,12,8,4,3,1,3,0,1
83,1,77.0,7,15,4,2,0,3,0,1
4,1,124.0,9,4,4,2,0,0,0,1
50,0,114.09,11,5,4,1,2,0,0,0
23,1,77.25,1,29,4,2,1,0,1,1
2,2,160.0,10,8,4,1,1,0,0,1
1,0,90.0,9,9,2,3,0,0,0,1
53,1,135.9,9,15,4,1,0,0,0,1
55,1,131.4,12,30,4,1,0,0,3,1
140,3,128.7,7,2,4,1,1,0,3,1
50,1,94.5,10,21,4,2,0,0,0,1
20,1,68.85,11,11,4,5,2,0,0,1
34,1,74.8,11,20,4,10,5,3,0,0
9,0,88.27,1,20,4,9,2,0,0,1
147,0,106.2,6,1,4,3,0,0,0,0
45,1,134.1,7,5,4,1,0,0,0,1
54,0,83.73,3,16,4,4,0,0,0,0
322,0,100.8,9,1,4,3,0,0,0,0
9,0,74.8,12,16,4,4,2,3,0,1
17,0,136.0,2,9,4,2,0,0,0,0
281,1,68.07,12,28,4,4,2,0,0,1
18,1,116.75,9,11,4,2,2,0,0,0
1,1,81.0,8,7,4,2,0,3,0,1
5,1,104.0,11,10,4,3,0,0,0,1
65,1,118.8,4,24,4,0,2,0,3,1
59,1,75.0,11,14,3,2,1,0,0,1
53,0,137.7,4,7,4,3,0,0,3,1
203,2,102.85,12,29,4,3,1,0,3,1
40,2,183.9,6,27,4,2,1,0,5,1
47,2,103.05,10,1,4,3,1,0,0,1
3,1,31.0,2,26,2,1,0,0,0,1
13,1,173.67,6,2,4,3,0,0,3,1
10,1,74.8,12,23,4,2,2,3,0,1
132,1,113.4,10,8,4,3,2,0,0,0
15,0,119.0,12,3,4,1,2,1,0,1
4,2,87.3,1,8,4,1,0,0,0,1
182,1,144.5,12,27,4,4,0,0,5,0
186,0,84.43,9,10,4,6,4,3,0,0
96,1,121.8,4,10,4,1,2,0,0,1
214,1,105.3,8,4,4,2,0,0,3,0
4,0,90.0,5,20,2,1,0,0,3,0
0,1,65.0,3,9,2,1,0,0,0,1
82,1,121.55,4,16,4,2,2,0,3,0
6,1,91.44,4,22,4,3,2,0,0,1
38,0,85.0,3,12,3,1,2,0,0,1
254,0,119.7,9,23,4,2,0,0,0,0
19,2,121.2,12,28,4,5,2,0,3,1
1,1,116.0,3,8,4,1,0,0,3,1
200,1,96.9,8,9,3,3,0,0,0,0
17,1,151.0,6,30,4,3,0,0,0,0
32,1,125.1,5,18,4,2,0,3,0,1
8,1,41.0,3,1,2,3,0,0,0,1
179,0,182.26,6,8,4,5,2,0,5,0
12,1,87.0,2,14,3,1,2,0,0,1
63,1,102.9,12,3,4,3,0,0,0,1
27,0,120.0,9,17,4,3,0,0,3,1
111,0,72.25,7,13,3,3,0,0,0,1
9,1,109.0,3,16,4,2,0,0,0,1
76,1,116.36,10,22,4,5,2,0,3,1
7,0,68.0,6,27,3,3,1,0,0,1
4,0,190.0,12,3,4,1,0,0,5,1
15,2,90.0,12,27,3,1,0,0,0,1
43,1,144.76,9,25,4,2,2,1,3,1
193,0,86.5,7,15,4,1,0,0,1,0
77,0,68.85,3,16,4,4,1,3,0,1
137,1,65.45,11,16,4,4,2,0,0,1
109,2,43.5,12,28,3,3,1,0,0,1
30,0,149.4,7,14,4,3,0,0,3,0
41,1,107.1,4,4,4,1,1,3,0,0
239,1,96.3,10,28,4,2,0,0,0,0
45,0,48.67,2,18,3,3,0,0,3,1
0,0,109.0,2,18,4,1,0,0,0,1
131,2,76.23,8,5,4,2,0,3,0,1
283,0,106.0,12,5,2,2,1,0,4,1
134,1,89.25,7,13,4,4,0,3,0,1
58,0,81.08,4,24,4,1,2,0,0,1
9,0,104.8,5,31,4,3,0,0,0,1
39,0,161.1,3,31,4,2,0,1,0,1
0,0,95.0,6,6,0,2,1,0,0,1
23,0,85.0,10,9,3,1,2,0,0,1
6,1,140.0,5,23,4,1,1,0,0,1
88,0,116.1,5,2,4,2,1,3,0,0
18,0,95.0,4,18,4,1,1,0,0,0
5,0,106.0,5,4,2,2,0,0,4,1
125,0,140.27,7,31,4,5,2,0,3,1
121,2,58.91,2,15,4,3,1,0,1,1
24,1,124.0,9,18,4,2,1,0,0,0
130,0,99.95,9,10,3,3,2,0,3,1
24,1,129.0,5,2,4,2,1,3,0,1
101,0,97.71,6,8,4,1,0,0,0,0
93,0,129.51,10,16,4,6,4,0,3,0
66,0,85.0,5,5,3,4,2,3,0,1
18,1,80.85,11,19,4,1,0,0,0,1
166,1,103.7,8,17,4,4,0,0,0,0
65,1,112.2,4,8,4,3,2,0,3,1
86,1,81.86,12,30,4,3,0,0,0,1
220,0,89.27,6,2,4,3,0,0,0,0
2,0,63.75,11,4,3,4,0,0,0,1
157,0,107.29,7,16,4,4,2,1,0,0
10,1,87.01,9,12,4,0,1,3,0,1
104,1,82.45,4,3,4,2,2,0,0,1
160,1,103.22,6,12,4,2,2,0,1,0
53,1,78.35,7,1,4,2,0,3,0,1
23,1,81.75,12,16,4,2,0,0,1,1
78,1,60.0,2,20,3,2,2,0,0,1
129,0,132.3,10,10,4,5,1,0,3,0
38,1,120.7,12,21,4,4,1,1,0,1
24,1,95.0,5,14,3,1,0,0,0,1
83,2,210.6,6,10,4,2,1,1,3,1
127,1,114.3,7,10,4,0,2,0,0,1
1,0,101.0,3,28,4,0,1,0,0,1
51,0,85.5,3,16,2,1,0,0,0,1
224,1,119.85,9,14,4,4,0,0,0,0
53,0,109.8,8,30,4,3,0,0,0,0
3,0,105.0,12,5,4,0,1,0,0,1
19,2,52.5,11,4,3,4,0,0,3,1
77,1,109.93,12,31,4,3,0,0,0,1
377,1,112.0,10,14,4,2,0,1,0,0
39,0,139.5,4,20,4,4,1,0,3,0
18,1,125.0,8,20,4,1,0,0,0,1
65,0,100.0,10,2,3,2,0,0,0,1
2,1,117.5,12,20,4,3,0,0,0,1
27,1,89.0,1,10,4,0,1,0,0,1
3,0,79.0,2,7,4,0,2,3,0,0
132,0,89.25,5,16,4,3,1,3,0,0
142,1,76.5,8,9,4,1,2,0,0,1
229,2,70.44,10,27,4,3,0,0,0,0
112,1,104.5,7,18,4,1,1,0,0,1
29,1,148.0,7,28,4,1,0,3,0,1
177,1,103.5,8,16,4,2,0,3,0,0
37,1,58.37,1,28,4,3,1,0,0,1
32,1,94.5,10,4,4,3,2,0,0,0
89,0,75.0,5,1,3,1,2,0,0,1
87,0,68.5,3,24,3,3,1,0,0,1
1,1,67.0,4,1,2,1,0,0,0,1
22,0,75.0,10,20,3,4,0,0,3,1
47,1,92.28,5,11,4,4,0,0,0,1
86,1,61.68,10,30,4,0,2,3,0,0
49,2,74.8,11,13,4,3,2,3,0,1
192,0,130.05,8,4,4,3,1,0,0,0
38,1,104.64,9,25,4,0,2,0,0,0
20,1,128.2,3,19,4,3,2,0,0,1
14,1,110.8,6,8,3,4,0,0,0,1
114,0,75.27,5,7,4,2,2,0,0,1
67,0,48.51,2,13,4,1,2,3,0,1
20,0,149.0,10,4,4,3,0,0,0,1
6,2,108.0,5,8,4,1,2,3,0,1
12,1,130.0,2,5,4,2,1,0,3,1
28,0,205.0,10,6,4,3,1,1,3,0
7,1,154.0,7,11,4,0,1,0,0,1
117,0,146.7,7,14,4,3,0,0,3,0
141,0,103.05,8,22,4,3,1,0,0,0
11,0,70.07,1,26,4,2,0,0,0,1
42,0,96.3,5,17,3,3,0,0,3,1
47,1,60.0,11,7,3,2,2,0,3,1
181,1,117.73,5,11,4,4,0,0,3,0
3,0,67.5,1,8,4,1,0,3,0,1
2,0,144.8,11,25,3,2,0,0,5,1
29,1,79.54,1,8,4,5,2,0,0,1
5,0,84.0,6,14,3,1,0,0,0,1
33,1,6.0,1,6,4,2,0,0,1,1
14,2,75.27,11,14,4,3,1,0,3,1
215,1,99.45,7,6,4,9,3,0,3,1
69,0,110.08,4,17,4,2,2,0,3,1
18,0,114.0,6,26,4,0,2,3,0,0
3,0,106.0,12,27,4,2,0,0,0,1
62,2,207.9,9,15,4,3,0,0,5,1
1,1,175.0,7,8,4,1,0,0,3,1
100,1,105.3,5,1,4,1,2,0,0,1
64,2,149.0,11,17,4,3,0,0,3,1
36,2,116.1,5,13,4,2,1,3,0,1
149,0,89.25,7,12,4,6,2,3,0,0
28,0,95.0,5,19,2,2,0,0,0,0
117,0,83.64,5,10,4,4,0,0,0,1
3,2,156.0,3,28,4,3,1,0,3,1
0,2,0.0,5,4,1,1,0,0,3,1
62,1,125.63,4,2,4,3,2,0,3,0
215,2,100.8,5,4,4,4,0,0,0,0
124,0,96.9,7,14,3,5,2,0,0,1
90,0,74.95,3,6,4,3,2,0,0,1
5,0,65.0,10,5,2,0,1,0,0,1
151,2,130.5,8,10,4,3,0,0,0,0
48,1,88.4,12,4,4,3,2,0,0,1
60,0,121.5,4,30,4,1,1,0,0,0
14,2,215.5,3,24,4,1,0,1,0,1
200,2,106.2,5,2,4,3,1,0,0,0
42,2,88.4,12,11,4,3,2,0,0,1
29,0,87.0,3,4,3,2,1,0,0,1
12,2,0.0,8,17,1,1,0,0,0,1
5,0,80.0,12,1,2,3,0,0,0,1
3,1,115.5,10,31,4,0,1,0,0,1
1,2,112.0,2,14,3,2,2,0,3,1
108,0,98.25,9,19,4,1,2,0,0,0
20,1,105.0,10,18,3,1,2,0,3,1
17,1,139.0,7,23,4,1,0,3,0,0
49,0,76.33,3,1,4,5,0,0,0,0
122,1,0.0,3,28,1,2,1,0,0,1
16,3,165.0,9,5,4,1,2,0,5,1
174,0,87.72,12,7,4,4,0,0,3,1
80,1,78.3,3,7,4,2,1,0,0,0
71,0,84.15,4,23,4,3,2,3,0,0
56,0,58.0,9,17,3,2,0,1,0,1
83,0,104.4,6,27,4,3,1,0,0,0
3,1,212.29,9,15,4,5,2,0,5,1
28,1,99.63,2,12,4,2,1,0,3,1
23,0,104.0,12,16,4,1,0,0,0,1
7,0,85.0,8,15,4,1,1,3,0,1
50,2,111.6,12,25,4,0,1,0,0,1
87,0,104.4,10,26,4,3,0,0,3,0
191,0,137.7,8,22,4,2,1,0,3,0
335,2,90.0,10,13,3,3,0,0,0,1
31,1,141.55,8,10,4,4,0,3,0,1
0,0,99.0,5,29,4,0,1,3,0,1
50,0,145.69,11,9,4,2,0,3,0,0
0,0,65.0,4,13,2,1,0,0,0,1
87,0,75.0,12,17,3,1,2,0,0,1
12,0,91.45,11,3,4,4,0,0,3,1
66,0,75.0,10,9,3,2,1,0,0,0
162,0,103.5,8,8,4,2,1,3,0,0
91,1,120.69,8,14,4,0,1,0,0,1
95,2,90.9,10,31,4,0,1,0,0,1
1,1,75.0,6,17,3,2,1,0,0,1
17,1,135.0,10,7,4,2,0,3,0,1
190,0,83.79,6,9,4,8,2,0,0,0
3,2,126.25,9,10,4,3,1,0,0,1
129,1,76.3,7,4,4,5,2,0,0,1
12,0,80.0,2,24,4,3,0,0,0,1
0,0,147.59,9,16,4,1,0,3,3,1
34,2,153.0,10,7,4,2,2,0,3,1
0,1,79.0,1,29,4,2,0,3,0,1
0,0,31.0,3,16,3,2,0,0,1,1
65,2,81.9,11,18,4,1,0,0,3,1
37,0,126.9,5,21,4,2,2,0,0,0
17,1,149.0,3,30,4,3,0,0,0,1
3,0,106.0,6,13,3,0,1,0,0,1
151,2,121.5,9,4,4,5,2,0,0,0
13,2,152.0,9,17,4,1,0,0,0,1
64,0,115.6,5,16,4,3,1,0,0,0
104,0,90.95,10,23,3,1,2,0,3,1
18,0,93.88,12,4,4,2,2,0,1,1
4,1,106.14,8,14,4,5,2,0,0,1
196,3,81.81,7,4,4,10,3,0,1,1
24,2,104.55,5,29,4,2,2,0,0,1
14,1,89.32,3,29,4,2,0,0,3,1
38,1,140.4,5,21,4,1,1,0,3,1
39,2,216.9,7,29,4,1,0,0,5,1
159,0,105.3,7,19,4,2,0,0,0,0
65,0,122.65,12,21,3,4,0,1,0,1
49,0,131.4,6,3,4,2,1,0,3,0
1,0,183.5,12,31,4,3,0,3,0,1
42,0,198.9,5,15,4,2,2,0,5,0
34,1,66.53,10,6,4,2,0,0,0,1
73,1,135.9,5,18,4,2,0,0,0,1
153,1,91.38,7,27,4,4,0,3,0,1
151,1,71.0,1,19,3,3,0,0,0,1
0,1,89.0,4,13,4,1,0,3,0,1
3,1,101.68,7,4,4,1,1,3,0,1
77,2,89.25,10,14,4,4,1,0,0,1
54,0,99.9,6,20,4,0,1,0,0,0
54,1,135.9,8,5,4,2,2,0,0,1
119,0,110.0,6,7,3,1,0,0,0,1
37,0,115.32,6,26,4,1,2,0,0,0
107,0,152.1,9,15,4,3,1,0,0,0
44,0,131.4,11,21,4,0,1,0,4,1
102,0,85.0,9,27,3,1,0,3,0,0
4,1,100.8,10,19,3,2,1,0,0,1
0,2,143.5,6,28,4,2,0,3,0,1
215,0,99.45,8,20,4,5,2,0,3,0
277,0,93.08,10,20,4,3,1,0,0,0
195,1,81.81,7,10,4,2,2,0,1,1
60,0,130.48,4,25,4,3,1,0,3,1
86,1,90.3,4,5,4,3,0,0,0,1
16,1,109.0,3,10,4,2,0,0,0,1
13,2,92.0,8,31,4,4,1,0,0,0
35,0,171.45,8,28,4,1,2,1,0,0
26,1,118.07,11,10,4,3,0,0,3,1
111,1,132.6,6,9,4,3,1,0,3,1
53,1,149.4,5,13,4,2,1,0,3,1
120,2,92.87,8,18,4,3,2,0,3,1
1,1,65.76,12,5,4,3,1,0,0,1
65,4,146.1,7,8,4,4,2,0,3,1
15,1,142.6,10,15,4,3,2,0,0,1
133,2,74.8,12,22,4,4,2,3,0,0
208,0,116.1,9,11,4,1,2,3,1,0
105,0,110.0,10,12,4,2,1,1,0,0
35,2,140.1,3,25,4,2,1,0,0,1
281,0,168.3,10,3,4,3,1,0,5,0
71,0,75.0,11,25,3,2,0,0,0,1
38,0,67.5,2,13,4,1,2,3,0,0
16,0,80.75,5,8,3,2,2,0,0,1
2,0,67.0,3,31,2,2,0,0,0,1
83,1,124.65,5,7,4,2,2,0,0,1
178,1,112.5,7,26,4,3,0,0,0,0
87,0,85.0,5,22,3,5,2,3,0,1
62,1,121.5,7,26,4,2,0,0,0,1
45,2,126.0,10,17,4,0,1,3,0,1
5,2,107.67,11,19,4,1,2,0,0,1
56,0,71.52,2,8,4,2,1,0,1,1
79,0,112.05,7,9,4,2,2,0,0,0
3,0,79.2,8,17,2,5,2,0,0,0
17,1,88.0,11,13,4,1,2,3,0,0
11,0,70.0,3,7,3,3,1,0,0,1
59,0,104.65,3,25,4,2,2,0,4,1
149,1,99.45,7,23,4,4,2,0,0,1
24,1,149.0,10,2,4,1,2,0,0,1
261,1,106.25,11,15,4,4,0,1,0,0
232,0,80.75,9,15,3,3,0,0,0,1
131,0,115.94,6,19,4,3,2,0,0,0
100,1,154.7,4,13,4,4,0,0,5,0
128,0,104.18,5,5,4,3,0,0,1,1
65,1,119.0,12,7,4,4,0,0,3,1
37,0,70.0,12,14,3,2,1,0,0,1
180,2,95.13,8,14,4,5,2,0,0,1
148,0,82.45,7,23,3,3,2,0,3,1
418,0,86.0,9,26,3,2,1,1,0,0
103,0,94.5,7,18,4,1,2,1,0,0
113,0,126.9,6,17,4,2,0,0,0,0
47,1,89.3,2,20,4,1,2,0,3,1
231,1,100.3,9,11,4,2,2,0,1,0
10,1,114.73,9,7,4,1,0,0,0,1
36,0,134.46,9,10,4,1,2,0,3,0
228,0,93.3,10,30,4,1,2,0,0,0
49,0,75.0,11,9,3,3,0,0,0,1
71,0,75.0,12,2,3,2,1,0,0,1
201,0,86.5,7,21,4,1,0,0,1,0
157,0,87.13,7,16,4,2,2,3,0,0
443,0,60.0,4,29,3,1,0,0,0,0
146,1,107.0,4,24,4,0,2,0,0,0
45,1,145.2,9,5,4,2,1,1,0,0
52,2,74.8,12,1,4,3,1,3,0,1
0,1,165.0,8,17,4,2,0,0,3,1
51,0,126.36,5,28,4,1,1,0,3,0
41,0,89.29,12,27,3,5,2,0,4,1
62,0,99.0,3,19,4,1,1,0,0,0
85,2,89.25,10,23,4,2,1,0,0,1
155,0,112.0,7,14,3,3,0,0,0,0
7,1,115.0,2,15,3,4,1,0,0,1
0,3,97.0,8,19,4,2,0,3,0,1
92,0,90.95,4,25,4,3,1,0,0,0
113,0,61.25,3,29,3,4,0,0,0,1
131,0,94.5,8,15,4,1,2,1,0,0
160,0,130.67,12,30,3,3,0,0,0,1
40,1,75.53,9,30,4,4,1,0,0,1
120,0,97.55,6,30,4,2,0,0,1,1
0,0,12.0,3,24,4,1,0,0,1,1
198,0,90.9,10,18,4,3,0,0,0,0
30,1,98.1,5,24,4,2,0,3,0,0
45,1,90.88,4,17,4,2,2,3,0,1
222,0,158.95,8,14,4,10,4,0,5,0
1,1,0.0,10,10,4,1,1,3,0,1
6,0,79.2,12,6,4,2,0,3,0,1
94,0,106.08,5,11,3,4,0,0,3,1
106,2,159.3,8,9,4,3,0,0,3,1
23,2,130.0,11,11,4,1,0,0,3,1
4,0,116.0,12,11,4,2,0,0,3,1
90,1,130.5,7,5,4,3,0,0,0,1
99,0,130.5,7,21,4,1,0,0,0,0
21,2,164.0,10,10,4,3,1,0,3,1
116,0,108.9,5,7,4,1,0,0,0,0
41,0,76.5,8,28,3,1,2,0,0,1
11,1,61.5,1,1,3,2,0,0,0,1
43,1,108.0,10,3,4,0,1,3,0,0
147,1,114.3,8,6,4,1,0,0,0,0
119,1,170.1,11,10,4,1,0,3,0,1
1,1,121.33,9,3,4,3,0,3,3,1
98,2,137.7,7,24,4,1,2,0,3,1
143,0,77.03,4,22,4,2,0,0,0,1
63,1,74.8,11,17,4,3,1,3,0,0
15,1,107.99,11,5,4,4,2,0,0,1
52,3,94.5,10,23,4,2,1,0,0,1
56,0,65.75,3,5,4,3,2,3,0,1
40,1,81.0,1,25,2,1,1,0,0,1
17,0,102.15,5,30,4,2,1,0,3,0
3,1,138.5,8,22,3,1,2,1,0,1
33,2,146.7,4,20,4,1,0,0,3,1
29,2,98.98,10,13,4,4,0,0,0,1
1,3,109.0,2,11,4,3,0,0,0,1
145,2,106.71,10,28,4,5,2,0,3,0
152,0,96.3,8,25,4,3,2,0,0,0
3,1,109.0,3,11,4,1,0,0,0,1
5,1,133.0,9,19,4,1,0,0,0,1
67,1,100.81,3,26,3,1,2,0,0,1
93,2,90.3,10,31,4,2,1,0,0,0
12,0,65.0,10,19,2,1,0,0,0,1
89,0,79.5,4,9,4,1,2,3,0,1
222,2,111.35,9,29,4,3,1,0,0,0
178,0,88.77,8,27,4,1,1,0,1,0
7,0,83.0,1,4,4,2,1,0,0,1
51,0,135.9,5,23,4,0,1,0,0,1
3,1,145.0,9,21,4,3,1,0,0,1
188,2,135.9,9,22,4,2,0,0,0,0
161,0,130.0,3,25,3,2,1,1,0,0
8,2,0.0,12,28,4,1,0,3,0,1
174,2,98.1,10,5,4,4,0,3,0,1
38,0,88.8,6,20,4,3,1,0,0,0
11,1,131.75,8,28,4,2,2,0,0,1
56,0,69.11,9,16,4,4,1,0,0,1
280,0,86.7,12,31,4,1,2,0,0,0
20,1,77.77,4,17,4,1,2,0,0,1
80,1,96.3,6,23,4,1,0,0,0,1
96,2,135.72,10,21,4,3,2,0,3,1
78,1,147.9,12,3,4,3,2,0,5,1
48,0,159.3,5,6,4,2,1,0,3,0
14,1,109.55,8,17,4,1,0,0,1,1
213,1,118.15,8,31,4,4,0,0,3,0
11,2,135.0,4,27,4,4,1,0,0,0
56,2,105.75,12,30,4,4,1,3,3,1
25,0,123.0,5,30,4,2,1,0,0,0
36,2,150.3,4,4,4,0,1,0,0,1
22,2,177.0,5,21,4,1,0,0,3,1
8,0,146.0,6,4,4,1,1,0,3,1
1,0,86.0,2,6,4,1,1,0,0,1
5,2,139.0,7,8,4,1,0,3,0,1
20,2,187.0,2,13,4,1,2,1,3,1
104,1,114.3,7,3,4,2,2,0,0,1
66,1,152.15,5,9,4,3,1,1,0,1
1,0,0.0,8,20,1,2,0,0,0,1
3,0,93.29,3,30,4,5,2,3,0,0
91,0,117.9,8,21,4,0,2,0,0,1
10,1,136.67,8,26,4,2,1,0,0,1
23,1,133.5,6,17,4,2,2,0,0,1
155,2,85.5,8,26,4,2,1,3,0,1
165,2,80.1,11,5,4,1,1,3,0,1
99,2,269.3,7,22,4,2,1,0,6,0
155,0,103.5,7,18,4,1,1,3,0,0
66,0,58.9,7,11,4,1,2,0,0,1
63,0,80.1,3,28,4,1,1,3,0,0
119,0,90.9,4,15,4,2,0,0,0,0
23,0,104.5,9,17,4,2,0,0,0,1
59,0,60.0,2,4,3,3,0,0,0,1
46,1,117.9,7,4,4,2,1,0,0,1
1,0,96.0,10,1,3,1,0,0,0,1
14,1,124.0,8,31,4,1,0,0,0,1
10,0,100.0,6,26,4,0,1,0,0,0
6,1,101.13,4,8,4,2,1,0,3,1
12,4,0.0,8,17,1,1,0,0,0,1
93,1,79.2,12,18,4,1,2,3,0,1
52,0,37.33,12,5,3,1,2,0,0,1
62,1,155.52,11,6,4,3,2,0,0,1
191,0,96.9,8,1,3,2,1,0,0,1
3,2,93.0,1,25,4,0,1,0,0,1
76,1,87.3,4,1,4,2,0,0,0,1
66,0,75.0,10,9,4,2,1,0,0,0
1,1,211.76,10,28,4,2,1,0,5,1
8,0,81.0,2,19,2,1,0,0,0,0
15,1,75.5,1,25,4,10,4,0,0,1
17,1,121.75,10,2,4,2,2,0,3,1
169,0,76.5,9,1,3,3,1,0,0,1
16,1,85.0,10,8,3,1,1,0,0,1
116,0,59.5,3,25,3,2,2,0,0,0
46,0,67.5,11,4,3,2,0,0,0,1
4,1,183.5,8,5,4,1,0,0,3,1
58,1,76.92,6,5,4,0,1,0,0,1
16,2,102.0,12,29,4,3,1,3,0,1
2,2,211.0,4,30,4,1,1,0,5,1
65,0,65.66,2,27,4,2,2,0,1,0
31,0,162.35,6,20,4,1,1,0,5,0
125,2,90.0,11,1,4,3,0,0,0,1
155,1,135.01,8,1,4,9,3,0,0,0
29,0,75.0,2,4,4,1,0,3,0,0
9,1,120.0,10,19,4,3,1,0,0,1
